title,artist,release,year,position
The Elephant Song,Kamahl,1975,2014,1719
The Healer,Santana & John Lee Hooker,1990,2014,1720
Rock 'n Roll,The Cats,1974,2014,1721
Hold On My Heart,Genesis,1992,2014,1722
Vaya Con Dios,The Cats,1972,2014,1723
Times Are Changing,Di-rect,2009,2014,1724
Osaka,The Shoes,1970,2014,1725
The Second You Sleep,Saybia,2002,2014,1726
Teardrops,Womack & Womack,1988,2014,1727
More Than This,Roxy Music,1982,2014,1728
Butterfly Kisses,Bob Carlisle,1997,2014,1729
Get Here,Oleta Adams,1990,2014,1730
The Pretender,Jackson Browne,1976,2014,1731
Rock The Casbah,The Clash,1982,2014,1732
Can You Feel It,The Jacksons,1981,2014,1733
The Joker,Steve Miller Band,1973,2014,1734
I'm A Believer,The Monkees,1966,2014,1735
Marry You,Bruno Mars,2011,2014,1736
Laat Het Vanavond Gebeuren,De Dijk,1997,2014,1737
I've Had The Time Of My Life,Bill Medley & Jennifer Warnes,1987,2014,1738
We Are The World,USA for Africa,1985,2014,1739
You're The Inspiration ,Chicago,1985,2014,1740
Candy,Robbie Williams,2012,2014,1741
Let's Spend The Night Together,The Rolling Stones,1967,2014,1742
Up Where We Belong,Joe Cocker & Jennifer Warnes,1982,2014,1743
Rock Me Amadeus,Falco,1986,2014,1744
Sitting Waiting Wishing,Jack Johnson,2005,2014,1745
Homburg,Procol Harum,1967,2014,1746
Maybe Tomorrow,Stereophonics,2003,2014,1747
China In Your Hand,T'Pau,1987,2014,1748
Un Canto A Galicia,Julio Iglesias,1972,2014,1749
Expecting To Fly,Buffalo Springfield,1968,2014,1750
The Sun Ain't Gonna Shine Anymore,The Walker Brothers,1966,2014,1751
True Love That's A Wonder,Sandy Coast,1971,2014,1752
Toveren,Herman van Veen,1987,2014,1753
The Opera,The Dizzy Man's Band,1975,2014,1754
Virtual Insanity,Jamiroquai,1996,2014,1755
Afscheid,Glennis Grace,2011,2014,1756
Stay (So Close Far Away),U2,1993,2014,1757
Sexy Als Ik Dans,Nielson,2014,2014,1758
A Piece Of The Action,The Babys,1978,2014,1759
Walk This Way,Run D.M.C.,1986,2014,1760
Three Times A Lady,Commodores,1978,2014,1761
Beautiful day,Gare Du Nord,2007,2014,1762
Loser,Beck,1994,2014,1763
This Town Ain't Big Enough For Both Of Us,Sparks,1974,2014,1764
Helpless,Crosby Stills Nash & Young,1970,2014,1765
Home On A Monday,Little River Band,1977,2014,1766
Walking On Sunshine,Katrina & the Waves,1985,2014,1767
Live And Let Die,Wings,1973,2014,1768
Papa Don't Preach,Madonna,1986,2014,1769
Faith,George Michael,1987,2014,1770
Rock With You,Michael Jackson,1979,2014,1771
YMCA,Village People,1978,2014,1772
If You Were A Sailboat,Katie Melua,2007,2014,1773
Luna,Alessandro Safina,2000,2014,1774
Mysterious Ways,U2,1991,2014,1775
Babe,Styx,1979,2014,1776
Stop,Sam Brown,1988,2014,1777
You Have Been Loved,George Michael,1997,2014,1778
Hou Van Mij,Het Goede Doel,1983,2014,1779
Wouldn't It Be Nice,The Beach Boys,1966,2014,1780
Sausolito Summernight,Diesel,1980,2014,1781
Blijf Bij Mij,Paul De Leeuw,1993,2014,1782
Wild wood,Paul Weller,1998,2014,1783
Lost,Michael Buble,2007,2014,1784
Summer Is Over,Dusty Springfield,1965,2014,1785
Don't You Want Me,The Human League,1982,2014,1786
Take My Breath Away,Berlin,1986,2014,1787
You're In My Heart,Rod Stewart,1977,2014,1788
I Believe I Can Fly,R. Kelly,1997,2014,1789
Duel (Eye To Eye),Propaganda,1985,2014,1790
The Power Of Love,Celine Dion,1994,2014,1791
All My Loving,The Beatles,1964,2014,1792
Complainte Pour Ste. Catherine,Anna & Kate McGarrigle,1976,2014,1793
When I Come Around,Green Day,1995,2014,1794
Evergreen,Barbra Streisand,1977,2014,1795
Original Sin,Inxs,1984,2014,1796
We Take Care Of Our Own,Bruce Springsteen,2012,2014,1797
The Last Time,The Rolling Stones,1965,2014,1799
Strangers In The Night,Frank Sinatra,1966,2014,1800
These Boots Are Made For Walking,Nancy Sinatra,1966,2014,1801
This Love,Maroon 5,2004,2014,1802
Secrets,One Republic,2010,2014,1803
This Melody,Julien Clerc,1976,2014,1804
Perfectly Lonely,John Mayer,2010,2014,1805
Heartbreak Hotel,Elvis Presley,1956,2014,1806
Green Onions,Booker T & The MG's ,1962,2014,1807
We've Got To Get Out Of This Place,The Animals,1965,2014,1808
Sunrise,Simply Red,2003,2014,1809
Home Again,Michael Kiwanuka,2012,2014,1810
Fly Away,Lenny Kravitz,1998,2014,1811
Girl On Fire,Alicia Keys,2012,2014,1812
It's All Over Now Baby Blue,Them,1966,2014,1813
The Ballroom Blitz,The Sweet,1973,2014,1814
The Flood,Take That,2010,2014,1815
Ti Sento,Matia Bazar,1986,2014,1816
It Must Have Been Love,Roxette,1990,2014,1817
Lonely Boy,Andrew Gold,1977,2014,1818
Daydream Believer,The Monkees,1967,2014,1819
Wheelchair Groupie,Alquin,1975,2014,1820
Heart Of Glass,Blondie,1979,2014,1821
La Mer,Charles Trenet,1952,2014,1822
My Friend The Wind,Demis Roussos,1973,2014,1823
Rivers Of Babylon,Boney M,1978,2014,1824
Breakfast At Tiffany's,Deep Blue Something,1996,2014,1825
Waiting For A Girl Like You,Foreigner,1982,2014,1826
The Sun Always Shines On TV,A-Ha,1986,2014,1827
Sonne,Rammstein,2001,2014,1828
Lion In The Morning Sun,Will And The People,2012,2014,1829
Oh Oh Den Haag,Harry Klorkestein,1982,2014,1830
Un Emozione Per Sempre,Eros Ramazzotti,2003,2014,1831
I Just Can't Stop Loving You,Michael Jackson,1987,2014,1832
I'm Mandy Fly Me,10CC,1976,2014,1833
Here Comes The Rain Again,Eurythmics,1983,2014,1834
Funkin' For Jamaica,Tom Browne,1981,2014,1835
Het Is Koud Zonder Jou,Andre Hazes,1980,2014,1836
Strani Amori,Laura Pausini,1994,2014,1837
One More Night,Phil Collins,1985,2014,1838
Tombe La Neige,Adamo,1964,2014,1839
Play That Funky Music,Wild Cherry,1976,2014,1840
Soldier,Gavin DeGraw,2012,2014,1841
Into The Great Wide Open,Tom Petty,1992,2014,1842
Bourrée,Jethro Tull,1969,2014,1843
Nah Neh Nah,Vaya con Dios,1990,2014,1844
Grace Kelly,Mika,2007,2014,1845
I Don't Like Mondays,The Boomtown Rats,1979,2014,1846
Limit To Your Love,James Blake,2011,2014,1847
Always On My Mind,Pet Shop Boys,1987,2014,1848
Sailing Home,Piet Veerman,1987,2014,1849
'n Vriend,Andre Hazes,1980,2014,1850
Bring It On Home To Me,The Animals,1965,2014,1851
My Special Prayer,Percy Sledge,1969,2014,1852
I'd Rather Go Blind,Chicken Shack,1969,2014,1853
Per Spoor (Kedeng Kedeng),Guus Meeuwis & Vagant,1996,2014,1854
Tumbling Dice,The Rolling Stones,1972,2014,1855
Seven Days In Sunny June,Jamiroquai,2005,2014,1856
Super Trouper,ABBA,1980,2014,1857
Orchard Road,Leo Sayer,1983,2014,1858
Nothing,The Script,2011,2014,1859
Up Around The Bend,Creedence Clearwater Revival,1970,2014,1860
Just Hold Me,Maria Mena,2006,2014,1861
Jealous Guy,John Lennon,1971,2014,1862
Zeven Dagen Lang,Bots,1976,2014,1863
Forever Blue,Little River Band,1995,2014,1864
Blijf Tot De Zon Je Komt Halen ,Paul De Leeuw,2007,2014,1865
Vanmorgen Vloog Ze Nog,Tsjechov,1988,2014,1866
Estranged,Guns N' Roses,1994,2014,1867
Dream A Little Dream Of Me,Mama Cass,1968,2014,1868
Tangled Up,Caro Emerald,2013,2014,1869
Warwick Avenue,Duffy,2008,2014,1870
Because Of You,Kelly Clarkson,2006,2014,1871
The Sweetest Taboo,Sade,1985,2014,1872
Promises Of No Man's Land,Blaudzun,2014,2014,1873
One Night,Elvis Presley,1959,2014,1874
What Is Life,George Harrison,1971,2014,1875
Go West,Pet Shop Boys,1993,2014,1876
The Girl From Ipanema,Astrud Gilberto,1964,2014,1877
Ik Wil Niet Dat Je Liegt,Paul De Leeuw,1993,2014,1878
When Love Takes Over,David Guetta & Kelly Rowland,2009,2014,1879
Ride My See-Saw,The Moody Blues,1968,2014,1880
Mainstreet,Bob Seger,1977,2014,1881
Best Of Both Worlds,Robert Palmer,1978,2014,1882
I Wanna Dance With Somebody,Whitney Houston,1987,2014,1883
Een Tip Van De Sluier,Boudewijn De Groot,1980,2014,1884
Twee Meisjes,Raymond Van Het Groenewoud,1996,2014,1885
Big Yellow Taxi,Joni Mitchell,1970,2014,1886
I Can Hear Music,The Beach Boys,1969,2014,1887
Lying All The Time,Outsiders,1966,2014,1888
Lay Down,Melanie & Edwin Hawkins Singers,1970,2014,1889
Daniel,Elton John,1973,2014,1890
Wat Zou Je Doen,Marco Borsato & Ali B,2004,2014,1891
Beast Of Burden,The Rolling Stones,1978,2014,1892
What Is Love,Haddaway,1992,2014,1893
Atlantis,Donovan,1969,2014,1894
Eltse Grins Foarby,De Kast,1997,2014,1895
Only The Lonely,Roy Orbison,1960,2014,1896
On The Wings Of A Nightingale,The Everly Brothers,1984,2014,1897
Reach Out I'll Be There,Four Tops,1966,2014,1898
Happy Ending,Joe Jackson,1984,2014,1900
Jessie,Joshua Kadison,1994,2014,1901
Hey St. Peter,Flash & The Pan,1977,2014,1902
The Guitar Man,Bread,1972,2014,1903
Bombay,Golden Earring,1976,2014,1904
Lovers In Japan,Coldplay,2009,2014,1905
Butterfly,Jason Mraz,2009,2014,1906
Man Down,Rihanna,2011,2014,1907
In The Army Now,Status Quo,1986,2014,1908
I Want To Hold Your Hand,The Beatles,1964,2014,1909
Wintertime,Kayak,1974,2014,1910
Killing Me Softly,Fugees,1996,2014,1911
Tell Me Baby,Red Hot Chili Peppers,2006,2014,1912
Het Kleine Cafe Aan De Haven,Vader Abraham,1976,2014,1913
Millionaires,Script,2013,2014,1914
Lucky All My Life,Racoon,2008,2014,1915
The Longest Time,Billy Joel,1984,2014,1916
Girls Just Want To Have Fun,Cyndi Lauper,1984,2014,1917
Can You Feel The Love Tonight,Elton John,1994,2014,1918
She Was Naked,Supersister,1970,2014,1919
You Were My Friend,Chi Coltrane,1973,2014,1920
And I Love Her,The Beatles,1964,2014,1921
Don't Let Me Be Misunderstood,Nina Simone,1964,2014,1922
Maybe Tomorrow Maybe Tonight,Earth & Fire,1973,2014,1923
Alles Wat Ademt,Rob de Nijs,1985,2014,1924
Dedicated Follower Of Fashion,The Kinks,1966,2014,1925
A Good Heart,Feargal Sharkey,1985,2014,1926
De Glimlach Van Een Kind,Willy Alberti,1968,2014,1927
Firth Of Fifth,Genesis,1973,2014,1928
Backstabbers,O'Jays,1972,2014,1929
You Got It,Roy Orbison,1989,2014,1930
Ik Neem Je Mee,Gers Pardoel,2011,2014,1931
Blue Bayou,Linda Ronstadt,1977,2014,1932
I Belong To You,Eros Ramazzotti & Anastacia,2005,2014,1933
We didn't start the fire,Billy Joel,1989,2014,1934
Du hast,Rammstein,1997,2014,1935
Love Me Do,The Beatles,1963,2014,1936
I'm Every Woman,Chaka Khan,1979,2014,1937
Pretty Amazing Grace,Neil Diamond,2008,2014,1938
Fox On The Run,The Sweet,1975,2014,1939
Can't Help Falling In Love,UB40,1993,2014,1940
Hey Soul Sister,Train,2010,2014,1941
Gangnam Style,PSY,2012,2014,1942
Suicide Blonde,INXS,1990,2014,1943
Girl,The Beatles,1965,2014,1944
Don't Cry For Me Argentina,Julie Covington,1977,2014,1945
Man Of The World,Fleetwood Mac,1969,2014,1946
David's Song,Kelly Family,1979,2014,1947
Fallin',Alicia Keys,2001,2014,1948
Adiemus,Adiemus,1995,2014,1949
P.Y.T.,Michael Jackson,1982,2014,1950
For Me Formidable,Charles Aznavour,1963,2014,1951
To Love Somebody,Bee Gees,1967,2014,1952
The Lazy Song,Bruno Mars,2011,2014,1953
Eight Miles High,The Byrds,1966,2014,1954
Second Waltz,Andre Rieu,1994,2014,1955
On The Beach,Chris Rea,1986,2014,1956
Killer,Adamski,1990,2014,1957
Ik Ga Naar Frankrijk,The Amazing Stroopwafels,1984,2014,1958
Ain't Nobody Home,B.B. King,1971,2014,1959
Beautiful Distraction,Ilse DeLange,2010,2014,1960
True,Spandau Ballet,1983,2014,1961
Paperback Writer,The Beatles,1966,2014,1962
Pretty Fly (For A White Guy),The Offspring,1999,2014,1963
Satellite Of Love,Lou Reed,1972,2014,1964
Play Me,Neil Diamond,1972,2014,1965
Winter Of Love,Ilse DeLange,2012,2014,1966
It's Too Late,Carole King,1971,2014,1967
Passie,Clouseau,1995,2014,1968
Tell Me Your Plans,The Shirts,1978,2014,1969
Ventura Highway,America,1972,2014,1970
Reason To Believe,Rod Stewart,1971,2014,1971
The Day That Curly Billy Show Down Crazy Sam McGee,The Hollies,1973,2014,1972
Inch' Allah,Adamo,1967,2014,1973
Voulez-Vous,ABBA,1979,2014,1974
Starless,King Crimson,1974,2014,1975
Young Americans,David Bowie,1975,2014,1976
Peggy Sue,Buddy Holly,1957,2014,1977
Telkens Weer,Willeke Alberti,1975,2014,1978
Last Dance,Donna Summer,1978,2014,1979
Window Of Hope,Oleta Adams,1993,2014,1980
Kodachrome,Paul Simon,1973,2014,1981
This Is Who We Are,Di-rect,2010,2014,1982
Not Over You,Gavin DeGraw,2011,2014,1983
High And Dry,Radiohead,1995,2014,1984
Freedom,George Michael,1990,2014,1985
Hard To Say I'm Sorry,Chicago,1982,2014,1986
Se Bastasse Una Canzone,Eros Ramazzotti,1990,2014,1987
Bus Stop,The Hollies,1966,2014,1988
Als Je Wint,Herman Brood & Henny Vrienten,1984,2014,1989
Wrecking Ball,Miley Cyrus,2013,2014,1990
Airport,The Motors,1978,2014,1991
Back In The USSR,The Beatles,1968,2014,1992
I Love Rock 'N' Roll,Joan Jett & The Blackhearts,1982,2014,1993
Some Kind Of Wonderful,Grand Funk Railroad,1975,2014,1994
Living Next Door To Alice,Smokie,1977,2014,1995
As Long As You Love Me,Backstreet Boys,1997,2014,1996
Titles,Barclay James Harvest,1976,2014,1997
Substitute,The Who,1966,2014,1998
Borderline,Madonna,1986,2014,1999
Master Blaster (Jammin'),Stevie Wonder,1980,2014,2000
